video_id,glosa,tiempo_inicio,tiempo_fin,duracion_seg_etiqueta,confianza,fuente,video_path,archivo_existe,fps,keypoints_validos,mano_dominante,blur_score,velocidad_media,herramienta
20250407114253_cfr,ABAJO,1.652,2.986,1.334,0.792,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABAJO\20250407114253_cfr.mp4,True,59.94,1.0,derecha,30.53,0.01146,label_studio
20250407114304_cfr,ABAJO,0.45,1.985,1.535,0.539,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABAJO\20250407114304_cfr.mp4,True,59.94,1.0,derecha,30.59,0.0093,label_studio
20250407114253-_cfr,ABAJO_2,1.618,2.986,1.368,0.747,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABAJO_2\20250407114253-_cfr.mp4,True,59.94,1.0,derecha,24.46,0.01204,label_studio
20250407114304_cfr,ABAJO_2,0.0,1.985,1.985,0.392,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABAJO_2\20250407114304_cfr.mp4,True,59.94,1.0,derecha,26.0,0.00698,label_studio
20250407114411_cfr,ABAJO_2,0.0,3.487,3.487,0.361,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABAJO_2\20250407114411_cfr.mp4,True,59.94,1.0,ambas_der,27.78,0.01103,label_studio
20250407114433_cfr,ABAJO_2,0.868,2.736,1.868,0.676,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABAJO_2\20250407114433_cfr.mp4,True,59.94,1.0,derecha,26.17,0.01215,label_studio
20250407114647_cfr,ABANDONAR,0.617,1.985,1.368,0.773,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABANDONAR\20250407114647_cfr.mp4,True,59.94,1.0,ambas_der,23.18,0.01641,label_studio
20250407114703_cfr,ABANDONAR,0.434,1.485,1.051,0.542,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABANDONAR\20250407114703_cfr.mp4,True,59.94,1.0,ambas_der,24.21,0.0162,label_studio
20250407114544_cfr,ABRIGO,0.0,1.985,1.985,0.588,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABRIGO\20250407114544_cfr.mp4,True,59.94,1.0,ambas_der,21.39,0.01191,label_studio
20250407114606_cfr,ABRIGO,0.0,1.985,1.985,0.509,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABRIGO\20250407114606_cfr.mp4,True,59.94,1.0,ambas_der,19.53,0.00928,label_studio
20250407114726_cfr,ABUELA,0.434,1.852,1.418,0.487,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABUELA\20250407114726_cfr.mp4,True,59.94,1.0,derecha,28.23,0.01153,label_studio
20250407114808_cfr,ABURRIR,0.0,1.785,1.785,0.437,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABURRIR\20250407114808_cfr.mp4,True,59.94,1.0,derecha,27.59,0.0068,label_studio
20250407114819_cfr,ABURRIR,0.551,1.502,0.951,0.84,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABURRIR\20250407114819_cfr.mp4,True,59.94,1.0,derecha,28.23,0.00966,label_studio
20250407114845_cfr,ABURRIR,0.417,1.335,0.918,0.75,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ABURRIR\20250407114845_cfr.mp4,True,59.94,1.0,derecha,22.76,0.01079,label_studio
20250402100954_cfr,ACCIDENTE,0.0,1.702,1.702,0.531,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACCIDENTE\20250402100954_cfr.mp4,True,59.94,1.0,ambas_izq,19.13,0.00851,label_studio
20250402101030_cfr,ACCIDENTE,0.0,1.318,1.318,0.605,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACCIDENTE\20250402101030_cfr.mp4,True,59.94,1.0,ambas_der,18.62,0.0099,label_studio
20250402101047_cfr,ACCIDENTE,0.0,1.351,1.351,0.59,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACCIDENTE\20250402101047_cfr.mp4,True,59.94,1.0,ambas_der,19.13,0.00836,label_studio
20250402101151_cfr,ACCIDENTE,0.0,1.435,1.435,0.627,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACCIDENTE\20250402101151_cfr.mp4,True,59.94,1.0,derecha,17.99,0.00916,label_studio
C0322_cfr,ACOMODAR,0.133,2.97,2.837,0.488,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACOMODAR\C0322_cfr.mp4,True,29.97,1.0,ambas_izq,19.21,0.01111,label_studio
C0324_cfr,ACOMODAR,0.367,2.469,2.102,0.683,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACOMODAR\C0324_cfr.mp4,True,29.97,1.0,ambas_izq,17.46,0.01682,label_studio
C0325_cfr,ACOMODAR,0.3,2.469,2.169,0.617,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACOMODAR\C0325_cfr.mp4,True,29.97,1.0,ambas_izq,16.94,0.01396,label_studio
C0326_cfr,ACOMODAR,0.067,2.469,2.402,0.71,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACOMODAR\C0326_cfr.mp4,True,29.97,1.0,ambas_izq,18.69,0.01497,label_studio
20250407115659_cfr,ACOSTARSE,0.0,1.602,1.602,0.402,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACOSTARSE\20250407115659_cfr.mp4,True,59.94,1.0,derecha,22.13,0.00806,label_studio
20250407115707_cfr,ACOSTARSE,0.0,1.185,1.185,0.312,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACOSTARSE\20250407115707_cfr.mp4,True,59.94,1.0,ambas_izq,23.25,0.00692,label_studio
20250407115857_cfr,ACOSTARSE,0.45,2.486,2.036,0.403,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACOSTARSE\20250407115857_cfr.mp4,True,59.94,1.0,derecha,19.2,0.00813,label_studio
C0327_cfr,ACTUAR+AGENTE,0.0,2.97,2.97,0.682,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACTUAR+AGENTE\C0327_cfr.mp4,True,29.97,1.0,derecha,15.59,0.01398,label_studio
C0328_cfr,ACTUAR+AGENTE,0.067,2.469,2.402,0.551,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACTUAR+AGENTE\C0328_cfr.mp4,True,29.97,1.0,derecha,17.82,0.01341,label_studio
C0329_cfr,ACTUAR+AGENTE,0.0,1.969,1.969,0.542,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ACTUAR+AGENTE\C0329_cfr.mp4,True,29.97,1.0,ambas_der,16.5,0.01357,label_studio
20250402103212_cfr,ADMITIR,0.0,1.268,1.268,0.306,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ADMITIR\20250402103212_cfr.mp4,True,59.94,1.0,derecha,16.84,0.00488,label_studio
20250407120008_cfr,ADREDE,0.0,2.486,2.486,0.753,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ADREDE\20250407120008_cfr.mp4,True,59.94,1.0,ambas_izq,18.8,0.01438,label_studio
20250407120017_cfr,ADREDE,0.35,2.486,2.136,0.408,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ADREDE\20250407120017_cfr.mp4,True,59.94,1.0,ambas_izq,18.17,0.01143,label_studio
20250407120553_cfr,AFORTUNADO,0.3,2.302,2.002,0.513,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AFORTUNADO\20250407120553_cfr.mp4,True,59.94,1.0,ambas_der,38.87,0.01021,label_studio
202504071206281_cfr,AFORTUNADO,0.0,1.983,1.983,0.987,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AFORTUNADO\202504071206281_cfr.mp4,True,60.0,1.0,ambas_izq,33.21,0.00748,label_studio
20250407120628_cfr,AFORTUNADO,0.267,1.985,1.718,0.347,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AFORTUNADO\20250407120628_cfr.mp4,True,59.94,1.0,ambas_izq,35.72,0.00834,label_studio
