,precision,recall,f1-score,support
ABAJO_2,0.5,1.0,0.6666666666666666,1.0
ACCIDENTE,0.5,1.0,0.6666666666666666,1.0
ACOMODAR,1.0,1.0,1.0,1.0
"AH,CLARO",1.0,1.0,1.0,1.0
ALGUNO,1.0,1.0,1.0,1.0
APROBAR,1.0,1.0,1.0,1.0
AUDIENCIA,1.0,1.0,1.0,1.0
AUDIOLOGÍA+AGENTE,0.0,0.0,0.0,1.0
AVERGONZAR,0.2,1.0,0.3333333333333333,1.0
AVISO,0.0,0.0,0.0,1.0
BALONCESTO,0.0,0.0,0.0,1.0
BORRAR,0.0,0.0,0.0,1.0
BOTE,0.0,0.0,0.0,1.0
CORRECTO,1.0,1.0,1.0,1.0
CRECER,1.0,1.0,1.0,1.0
CUALQUIER,1.0,1.0,1.0,1.0
CUATRO DÓLARES,0.0,0.0,0.0,1.0
CULTURA,0.0,0.0,0.0,1.0
DEJAR,0.0,0.0,0.0,1.0
EL AÑO PASADO,0.0,0.0,0.0,1.0
ELEGANTE,0.0,0.0,0.0,1.0
ENCENDIDO,0.0,0.0,0.0,1.0
ENOJADO,0.5,1.0,0.6666666666666666,1.0
ESCUCHAR,1.0,1.0,1.0,1.0
ESCUCHAR+(1h)RUMBLE,0.0,0.0,0.0,1.0
FAMOSO,0.5,1.0,0.6666666666666666,1.0
FUEGOS ARTIFICIALES,0.0,0.0,0.0,1.0
FÓSFORO,0.0,0.0,0.0,1.0
GUITARRA,0.0,0.0,0.0,1.0
HIJA,0.0,0.0,0.0,1.0
JEFE,1.0,1.0,1.0,1.0
MIL,0.0,0.0,0.0,1.0
MOTIVAR,0.0,0.0,0.0,1.0
MUDARSE,0.3333333333333333,1.0,0.5,1.0
PASTEL,1.0,1.0,1.0,1.0
accuracy,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857
macro avg,0.38666666666666666,0.4857142857142857,0.4142857142857143,35.0
weighted avg,0.38666666666666666,0.4857142857142857,0.4142857142857143,35.0
